2	X	15955951	21471667	15956109	21472064	28	True
88	X	15956289	21471600	15956391	21471950	18	True

326	X	2425155	6952399	2425710	6952867	5	True
117	X	8451055	23020488	8451155	23021742	15	False

1345	X	8451348	23020685	8451447	23021455	5	False
7	2R	14589194	18774215	14591331	18774525	31	True

1	2R	14589194	18774212	14591376	18774520	14	True
141	3R	8036577	21733144	8036675	21733231	10	True

62	3R	8050251	21735744	8050344	21735865	14	True
62	3R	8050317	21735744	8050344	21735865	14	True

244	3R	8049110	21735328	8050342	21736550	7	True
335	3R	8038018	21730411	8040242	21733246	15	True

